code,"Description"
134920,"Analysing trends and capacity against requirements, to support plans and objectives within Community Corrections, Providing recommendations to the Area Commissioner on technical issues and specifications for consideration and inclusion into tenders and contractual agreements Management of Case Management Administration, parolees and probationers and Community Liaison Services, Analyse and manage trends (absconders, society expectations), Ensure that presentence activities are executed in conjunction with other role players (eg, Department of Justice) are executed, Ensure that admission, induction and releases are conducted."
134921,"Coordinates and directs disaster management departmental, service or programmes, goals and objectives through managing disaster management officials in an integrated and multisectoral  manner in accordance with the implementation of the legislative framework"
14,"Hospitality, shop and related services managers plan, organize and direct the operations of establishments which provide accommodation, hospitality, retail and other services."
141,"Hotel and restaurant managers plan, organize and direct the operations of establishments that provide accommodation, meals, beverages and other hospitality services."
1411,"Hotel managers plan, organize and direct the operations of hotels, motels and similar establishments to provide guest accommodation and other services."
141101,"Organises and controls the operations of a hotel or motel to provide guest accommodation, meals and other services."
141102,"Organises and controls the operation of a bed and breakfast or guest house in providing accommodation and leisure services."
141103,"Manages reception functions related to hospitality establishment."
1412,"Restaurant managers plan, organize and direct the operations of cafes, restaurants and related establishments to provide dining and catering services."
141201,"Organises and controls the operations of establishments involved in catering and dining services."
141202,"Organises and controls the operations of a licensed club to provide food, beverages, gaming, entertainment, sporting and other amenities for members."
141203,"Manages a catering outlet that produces meals through mass production to hospitals, airlines, and catering outlets."
141204,"Monitor, manage and increase occupancy levels in a accommodation establishment."
142,"Retail and wholesale trade managers plan, organize, coordinate and control the operations of establishments that sell goods on a retail or wholesale basis, They are responsible for the budgets, staffing and strategic and operational direction of shops, or of organizational units within shops that sell particular types of product."
1421,"Retail and wholesale trade managers, plan, organize, coordinate and control the operations of establishments that sell goods on a retail or wholesale basis, They are responsible for the budgets, staffing and strategic and operational direction of shops, or of organizational units within shops that sell particular types of products."
142101,"Plans, organises, directs, controls and coordinates the operations of an importing or exporting establishment."
142102,"Plans, organises, directs, controls and coordinates the operations of a wholesale trading establishment."
142103,"Organises and controls the operations of a retail trading establishment."
142104,"Organises and controls the operations of a post office."
143,"Other services managers plan, organize, and control the operations of establishments that provide sporting, cultural, recreational, travel, customer contact and other amenity services."
1431,"Sports, recreation and cultural centre managers plan, organize, and control the operations of establishments that provide sporting, artistic, theatrical and other recreational and amenity services."
143101,"Organises and controls the operations of a betting agency."
143102,"Plan, organise, direct, control and coordinate gaming operations, Formulate gaming policies for their area of responsibility."
143103,"Organises and controls the operations of a theatre or cinema."
143104,"Plans, organises, directs, controls, coordinates and promotes artistic and cultural policies, programs, projects and services."
143105,"Plans, organises, directs, controls, coordinates and promotes sport and recreational activities, and develops related policies."
143106,"Organises, controls and promotes the activities, facilities and resources of an amusement centre, showground or theme park."
143107,"Organises, controls and promotes the activities, facilities and resources of a fitness centre, May coach, instruct and train clients."
143108,"Organises, controls and promotes the activities, facilities and resources of a sports centre."
143109,"Organises, controls and promotes the activities of the clients membership function of a club or association."
1439,"This unit group covers managers that plan, direct and coordinate the provision of services and are not classified in sub-major group 13, production and specialised services managers or elsewhere in sub-major group 14, hospitality, retail and other services managers, For instance, managers of travel agencies, conference centres, contact centres and shopping centres are classified here."
143901,"Organises, controls and coordinates the strategic and operational management of facilities in a public or private organisation."
143902,"Organises and controls the operations of enterprises which provide cleaning services."
143903,"Organises and controls the operations of an establishment which offers temporary boarding for dogs and cats."
143904,"Directs an organisation's security functions, including physical security and safety of employees, facilities, and assets."
143905,"Manages the performance of call centre workers, processes and technology against financial and non financial operational targets."
143906,"Organises and controls the operations of caravan parks and camping grounds to provide accommodation and leisure services."
143907,"Ensures the smooth functioning of boats docking and departing a marina, Also provides special services or accommodations for those using the marina, The dockmaster is also responsible for inspecting the marina and making sure that necessary repairs get done, or that any problems are reported to the proper authorities."
143908,"Evaluates and grades places of accommodation for listing purposes."
143909,"Organises and controls the operations of a travel agency."
2,"Professionals increase the existing stock of knowledge, apply scientific or artistic concepts and theories, teach about the foregoing in a systematic manner, or engage in any combination of these activities."
21,"Physical, mathematical and engineering science professionals conduct research, improve or develop concepts, theories and operational methods, or apply scientific knowledge relating to fields such as physics, astronomy, meteorology, chemistry, geophysics, geology, mathematics, statistics, computing, architecture, engineering, and technology."
211,"Physical and earth science professionals conduct research, improve or develop concepts, theories and operational methods, or apply scientific knowledge relating to physics, astronomy, meteorology, chemistry, geology and geophysics."
2111,"Physicists and astronomers conduct research and improve or develop concepts, theories and operational methods concerning matter, space, time, energy, forces and fields and the interrelationship between these physical phenomena, They apply scientific knowledge relating to physics and astronomy in industrial, medical, military or other fields."
211101,"Studies matter, space, time, energy, forces and fields and the interrelationship between these physical phenomena to further understanding of the laws governing the behaviour of the universe, and seeks to apply these laws to solve practical problems and discover new information about the earth and the universe."
2112,"Meteorologists prepare short-term or long-term weather forecasts used in aviation, shipping, agriculture and other areas and for the information of the general public, They conduct research related to the composition, structure and dynamics of the atmosphere."
211201,"Studies the physics and dynamics of the atmosphere to increase understanding of weather and climate, and to forecast changes in the weather and long term climatic trends."
211205,"Evaluate scientific data carries out research on the climate to create predictive models of likely changes in the earth's climate, and concomitant impacts on natural ecosystems and civilisation"
2113,"Chemists conduct research, improve or develop concepts, theories and operational methods, or apply scientific knowledge relating to chemistry, to develop new knowledge or products and for quality and process control."
211301,"Studies the chemical and physical properties of substances, and develops and monitors chemical processes and production."
211302,"Conduct research, improve or develop concepts, theories and operational methods, or apply scientific knowledge relating to chemistry, to develop new knowledge or products and for quality and process control."
2114,"Geologists and geophysicists conduct research; improve or develop concepts, theories and operational methods, or apply scientific knowledge relating to geology and geophysics in such fields as oil, gas and mineral exploration and extraction, water conservation, civil engineering, telecommunications and navigation, and assessment and mitigation of the effects of development and waste disposal projects on the environment."
211401,"Studies the composition, structure and other physical attributes of the earth to increase scientific knowledge and to develop practical applications in fields such as mineral exploration, civil engineering, environmental protection and rehabilitation of land after mining."
211402,"Studies the composition, structure and other physical attributes of the earth, locates minerals, petroleum or ground water, and detects, monitors and forecasts seismic, magnetic, electrical, thermal and oceanographic activity."
211403,"Studies the properties and uses of non-metallic materials and advises on the technical aspects of their manufacture and processing."
211404,"Examines, identifies and grades stones and gems, such as diamonds, emeralds, rubies, topaz, and jade."
211405,"Studies the chemistry, crystal structure, and physical (including optical) properties of minerals."
211406,"Research the distribution, circulation and physical properties of underground and surface waters; and the form and intensity of precipitation, its rate of infiltration into the soil, movement through the earth, and its return to the ocean and atmosphere."
211407,"Studies the physical, chemical and biological properties of the ocean water masses"
212,"Mathematicians, actuaries and statisticians conduct research, improve or develop mathematical, actuarial and statistical concepts, theories and operational models and techniques and apply this knowledge to a wide range of tasks in such fields as engineering, business and social and other sciences."
2121,"Mathematicians, actuaries and statisticians conduct research and improve or develop mathematical, actuarial and statistical concepts, theories and operational methods and techniques and advise on or engage in their practical application in such fields as engineering, business and social and other sciences."
212101,"Analyses mathematical, statistical, demographic, financial or economic data to predict and assess the long-term risk involved in financial decisions and planning."
212102,"Develops and applies mathematical principles and techniques to solve problems in all areas of the sciences, engineering, technology, social sciences, business, industry or commerce."
212103,"Designs and applies statistical principles and techniques for collecting, organising and interpreting quantifiable data, and uses statistical methodologies to produce statistical reports and analyses for government, commercial and other purposes."
213,"Life science professionals apply knowledge gained from research into human, animal and plant life and their interactions with each other and the environment to develop new knowledge, improve agricultural and forestry production, and solve human health and environmental problems."
2131,"Biologists, botanists, zoologists and related professionals study living organisms and their interactions with each other and with the environment, and apply this knowledge to solve human health and environmental problems, They work in diverse fields such as botany, zoology, ecology, marine biology, genetics, immunology, pharmacology, toxicology, physiology, bacteriology and virology."
213101,"Studies animal behaviour and trains or advises on the training of animals with behaviour disorders."
213102,"Studies the origin, anatomy, physiology, reproduction and behaviour of living organisms and the ways in which they interact with the environment in which they live."
213103,"Studies the anatomy and physiology of humans."
213104,"Studies the biochemistry of living organisms and the molecular structure and function of related components."
213105,"Studies the anatomy, physiology and characteristics of living organisms and isolated biological molecules, and develops new materials for applying to a range of purposes."
213106,"Studies the anatomy, physiology, biochemistry and ecology of plants."
213107,"Studies the anatomy, physiology, functions, characteristics, behaviour and environments of all forms of life living in the sea and connected water bodies."
213108,"Studies microscopic forms of life such as bacteria, viruses and protozoa."
213109,"Studies the anatomy, physiology, characteristics, ecology, behaviour and environments of animals."
213110,"Conducts medical laboratory tests to assist in the diagnosis, treatment and prevention of disease."
213111,"Advises commercial executives on medical and legal matters associated with the development of new treatments, established pharmaceutical products, marketing campaigns, and areas of unmet medical need, Conducts and oversees research dealing with the understanding of human disease and the improvement of human health."
2132,"Farming, forestry and fisheries advisers study and provide assistance and advice on farm, forestry and fisheries management, including cultivation, fertilisation, harvesting, soil erosion and composition, disease prevention, nutrition, crop rotation and marketing, They develop techniques for increasing productivity, and study and develop plans and policies for land and fisheries management."
